catalog number,date,start time,recordist name,colloquial location,latitude,longitude,recorder number,linked video filenames,Linked audio catalog #,notes,Audited?,Audited,Orientation,
001,2019/4/7,3:41 PM,Jon Myers,,36.9936,-122.0599,H3-VR,“SAM_101_0524_1554676886000.mp4” + “SAM_101_0525.mp4”,N/A,,yes,N/A,N/A,
002,2019/4/7,4:00 PM,Jon Myers,,36.993,-122.0583,H3-VR,N/A,N/A,,yes,N/A,N/A,
003,2019/4/7,5:35 PM,Jon Myers,,37.0035,-122.1850,H3-VR,“SAM_101_0527.mp4” + “SAM_101_0528.mp4”,6,"Spoken info at end of clip. Videos continue beyond audio, by accident",yes,N/A,N/A,
004,2019/4/7,5:55 PM,Jon Myers,,37.0041,-122.1851,H3-VR,“SAM_101_0529.mp4”,7,,yes,N/A,N/A,
005,2019/4/7,6:39 PM,Jon Myers,,37.0002,-122.1809,H3-VR,"“SAM_101_0530_1554687561000.mp4” + “SAM_101_0531,mp4”",8,,yes,N/A,N/A,
006,2019/4/7,5:35 PM,Marguerite Brown,,37.0035,-122.1850,H3-VR,N/A,3,Spoken info at end of clip.,yes,N/A,N/A,
007,2019/4/7,5:55 PM,Marguerite Brown,,37.0041,-122.1851,H3-VR,N/A,4,,yes,N/A,N/A,
008,2019/4/7,6:39 PM,Marguerite Brown,,37.0002,-122.1809,H3-VR,N/A,5,,yes,N/A,N/A,
009,2019/4/17,11:37 AM,Jon Myers,"The grand concourse outside the music center, overlooking the cow pasture",36.993,-122.0604,H3-VR,N/A,N/A,Gamelan class in session,yes,N/A,N/A,
010,2019/4/17,11:54 AM,Jon Myers,Field in front of Chancellor’s residence,36.9922,-122.0611,H3-VR,N/A,N/A,,yes,N/A,N/A,
011,2019/4/17,12:18 PM,Jon Myers,3rd floor balcony of the DARC.,36.9937,-122.0607,H3-VR,N/A,N/A,,yes,N/A,N/A,
012,2019/4/18,11:34 AM,Jon Myers,Off the path between Mchenry Library and AR center,36.9949,-122.0598,H3-VR,N/A,N/A,Cicadas,yes; (very audible student talks about getting high /playing overwatch . . .  at 1:45; is this okay to include?),N/A,N/A,
013,2019/4/18,11:46 AM,Jon Myers,"Path near McHenry parking lot, beneath the Art buildings, tiny Redwood Grove",36.9958,-122.0606,H3-VR,N/A,N/A,Cicadas,yes,N/A,N/A,
014,2019/4/18,6:23 PM,Jon Myers,"Kerr road, outside visual arts complex.",36.9945,-122.0614,H3-VR,N/A,N/A,Loud van w/ engine on in middle of recording.,yes,N/A,N/A,
015,2019/4/18,6:34 PM,Jon Myers,"Outside Kerr Hall, on  a path",36.9965,-122.0613,H3-VR,N/A,N/A,,yes,N/A,N/A,
016,2019/4/18,6:50 PM,Jon Myers,Path below Kresge college,36.9956,-122.0665,H3-VR,N/A,N/A,,yes,N/A,N/A,
017,2019/4/18,7:04 PM,Jon Myers,"Hillside by porter meadow , overlooking empire grade",36.9958,-122.0684,H3-VR,N/A,N/A,,yes,N/A,N/A,
018,2019/4/18,7:12 PM,Jon Myers,"in the Empire Cave, near entrance",36.9961,-122.0688,H3-VR,N/A,N/A,loud fussing at beginning,yes,N/A,N/A,
019,2019/4/18,7:38 PM,Jon Myers,bottom of the steps near arts complex,36.9933,-122.0627,H3-VR,N/A,N/A,,“Butt-chugging vodka” overheard . . . perhaps this needs to be edited / not included,N/A,N/A,
